Date,Open,High,Low,Close,Volume
2015-09-11,93.09,95.16,91.615,92.93,34518349
2015-09-04,95.05,95.17,90.5728,91.31,55216993
2015-08-28,91.08,96.4,81.79,95.17,76349132
2015-08-21,98.44,100.1199,95.51,95.56,48923320
2015-08-14,99.57,100.06,97.41,98.81,30648805
2015-08-07,100.0,101.0,98.16,98.85,29746583
2015-07-31,98.97,100.98,97.915,100.21,36079117
2015-07-24,100.5,100.81,99.05,99.15,29165534
2015-07-17,100.05,101.36,98.55,100.08,38694803
2015-07-10,97.71,99.89,96.64,99.53,35071178
2015-07-02,98.98,99.35,97.3,98.44,32937323
2015-06-26,100.6,100.84,99.07,99.64,33971630
2015-06-19,97.75,100.55,97.01,99.86,39501135
2015-06-12,98.6,99.8,97.8,98.35,39816472
2015-06-05,100.28,100.6,98.2,98.59,36600512
2015-05-29,101.23,101.7,99.83,100.14,32864796
2015-05-22,102.37,104.48,101.33,101.35,38440284
2015-05-15,101.32,102.32,100.28,102.3,29906124
2015-05-08,100.33,101.67,98.66,101.47,36292901
2015-05-01,101.16,101.6,98.77,100.13,41940128
2015-04-24,100.26,101.529,99.91,101.08,31874768
2015-04-17,101.54,101.98,99.11,99.58,46717231
2015-04-10,98.84,102.14,98.04,102.06,39800206
2015-04-02,101.24,101.86,98.61,99.64,31553621
2015-03-27,102.47,103.35,99.56,100.34,41659075
2015-03-20,99.74,102.9,99.13,102.4,42297021
2015-03-13,100.2,100.92,98.22,99.21,39707839
2015-03-06,102.86,103.41,99.88,100.11,39677557
2015-02-27,100.74,103.33,99.8,102.51,43087853
2015-02-20,99.39,100.94,99.11,100.26,36617748
2015-02-13,101.06,101.06,97.15,99.62,67292170
2015-02-06,100.49,102.56,99.38,101.1,44366090
2015-01-30,101.8,102.93,100.09,100.14,46421661
2015-01-23,101.55,103.83,100.26,102.2,51331424
2015-01-16,105.17,106.33,101.95,104.04,50826996
2015-01-09,104.48,106.5,102.94,104.94,40690513
2015-01-02,104.64,106.11,104.13,104.52,20604038
2014-12-26,105.69,106.91,103.92,105.06,24676700
2014-12-19,104.77,107.39,102.5,105.55,63441479
2014-12-12,108.42,108.88,104.39,104.43,38571541
2014-12-05,107.89,108.99,107.221,108.51,34043892
2014-11-28,107.92,108.82,106.6,108.25,27850662
2014-11-21,108.0,109.06,107.61,107.86,32363935
2014-11-14,108.07,109.49,107.2,108.16,29208795
2014-11-07,107.83,109.32,106.75,108.2,36251368
2014-10-31,103.07,108.18,103.035,107.78,45451998
2014-10-24,98.83,103.29,98.32,103.13,38186659
2014-10-17,101.46,101.46,95.1,98.7,79912213
2014-10-10,105.68,106.0,101.23,101.23,42423190
2014-10-03,106.38,107.2099,103.25,105.13,40092518
2014-09-26,108.0,108.77,106.2,107.1,29857858
2014-09-19,104.59,108.37,104.3,107.99,36896800
2014-09-12,104.42,105.34,103.55,104.58,29065200
2014-09-05,103.3,104.42,103.02,104.42,21262700
2014-08-29,103.65,103.81,102.71,103.73,20746700
2014-08-22,101.92,104.42,101.75,103.1,30266400
2014-08-15,101.62,102.44,100.31,101.17,27069800
2014-08-08,99.99,101.19,99.315,101.08,33470000
2014-08-01,101.89,102.85,98.8,99.9,34435700
2014-07-25,101.44,102.93,101.02,102.11,26878000
2014-07-18,105.38,105.49,100.26,101.8,53578600
2014-07-11,105.42,106.74,104.52,105.1,29420300
2014-07-03,105.62,106.25,104.52,105.42,20037400
2014-06-27,104.91,105.97,104.23,104.99,29959200
