Date,Open,High,Low,Close,Volume,overall_sentiment_score
2000-09-29,61.31,64.12,25.37,25.75,259230900.0,
2000-08-31,50.31,61.5,44.25,60.94,100644400.0,
2000-07-31,52.13,60.63,46.88,50.81,102620900.0,
2000-06-30,81.75,103.94,50.31,52.38,89106200.0,
2000-05-31,124.87,126.25,81.75,84.0,87569200.0,
2000-04-28,135.5,139.5,104.87,124.06,77342900.0,
2000-03-31,118.56,150.38,114.0,135.81,77663900.0,
2000-02-29,104.0,119.94,97.0,114.62,65355200.0,
2000-01-31,104.87,121.5,86.5,103.75,112099800.0,
1999-12-31,101.0,118.0,91.06,102.81,84091200.0,
,,,,,,0.314573
,,,,,,0.253635
,,,,,,0.157888
,,,,,,0.156267
,,,,,,0.081571
,,,,,,-0.0653
,,,,,,0.074174
,,,,,,0.072699
,,,,,,0.0
,,,,,,0.158913
,,,,,,0.274107
,,,,,,0.12482
,,,,,,0.092442
,,,,,,0.306817
,,,,,,0.173387
,,,,,,0.262285
,,,,,,0.263228
,,,,,,0.026365
,,,,,,0.227618
,,,,,,0.260214
,,,,,,0.064777
,,,,,,0.195412
,,,,,,0.285037
,,,,,,0.220669
,,,,,,0.136895
,,,,,,0.264858
,,,,,,0.416565
,,,,,,0.225268
,,,,,,0.188317
,,,,,,0.189774
,,,,,,0.063953
,,,,,,0.211249
,,,,,,0.170802
,,,,,,0.039014
,,,,,,-0.009694
,,,,,,0.047285
,,,,,,0.141732
,,,,,,0.092422
,,,,,,0.040803
,,,,,,-0.076777
,,,,,,0.317335
,,,,,,0.350563
,,,,,,0.187295
,,,,,,0.113848
,,,,,,0.262624
,,,,,,0.162745
,,,,,,0.119482
,,,,,,0.287351
,,,,,,-0.112403
,,,,,,0.195654
,,,,,,0.206709
,,,,,,0.168352
,,,,,,0.302189
,,,,,,0.251836
,,,,,,0.22974
,,,,,,0.0
,,,,,,0.126413
,,,,,,0.154366
,,,,,,0.10562
,,,,,,0.026571
,,,,,,0.112981
,,,,,,0.135055
,,,,,,0.18431
,,,,,,0.154122
,,,,,,0.14036
,,,,,,0.322402
,,,,,,0.216087
,,,,,,-0.01959
,,,,,,0.162276
,,,,,,0.236597
,,,,,,0.272298
,,,,,,0.029772
,,,,,,0.136129
,,,,,,0.293159
,,,,,,0.278069
,,,,,,0.304491
,,,,,,0.240107
,,,,,,0.172704
,,,,,,0.10859
,,,,,,0.236215
,,,,,,0.136129
,,,,,,0.128943
,,,,,,0.137392
,,,,,,0.125492
,,,,,,0.230191
,,,,,,0.311593
,,,,,,0.184108
,,,,,,0.103253
,,,,,,0.389554
,,,,,,0.264011
,,,,,,0.249842
,,,,,,0.137969
,,,,,,0.131162
,,,,,,0.138927
,,,,,,0.071454
,,,,,,0.142009
,,,,,,0.259213
,,,,,,-0.214546
,,,,,,0.074353
,,,,,,0.132281
,,,,,,0.342347
,,,,,,0.062352
,,,,,,0.295949
,,,,,,0.326226
,,,,,,0.235933
,,,,,,0.18802
,,,,,,-0.002429
,,,,,,0.138092
,,,,,,0.142883
,,,,,,-0.055769
,,,,,,0.222801
,,,,,,-0.007269
,,,,,,0.183974
,,,,,,0.185698
,,,,,,0.096621
,,,,,,0.180518
,,,,,,0.257059
,,,,,,0.130109
,,,,,,0.307071
,,,,,,0.29775
,,,,,,0.288499
,,,,,,0.040738
,,,,,,0.152495
,,,,,,0.175649
,,,,,,0.309561
,,,,,,0.134941
,,,,,,0.050538
,,,,,,0.130789
,,,,,,0.09998
,,,,,,0.210728
,,,,,,0.147447
,,,,,,0.175449
,,,,,,0.329164
,,,,,,-0.009687
,,,,,,0.151487
,,,,,,0.134073
,,,,,,-0.021674
,,,,,,-0.00977
,,,,,,0.161315
,,,,,,0.021385
,,,,,,0.164098
,,,,,,0.069812
,,,,,,0.272517
,,,,,,0.278136
,,,,,,0.11882
,,,,,,0.266147
,,,,,,0.036402
,,,,,,0.206071
,,,,,,0.21772
,,,,,,0.03173
,,,,,,-0.019146
,,,,,,0.30479
,,,,,,0.30398
,,,,,,0.266785
,,,,,,0.343774
,,,,,,0.275182
,,,,,,0.254239
,,,,,,0.108347
,,,,,,0.324759
,,,,,,0.322598
,,,,,,-0.140974
,,,,,,-0.067229
,,,,,,0.286988
,,,,,,0.161166
,,,,,,0.29557
,,,,,,0.161112
,,,,,,-0.097663
,,,,,,0.359993
,,,,,,0.254173
,,,,,,0.304599
,,,,,,-0.40148
,,,,,,0.091229
,,,,,,0.106894
,,,,,,0.0
,,,,,,0.119993
,,,,,,0.355888
,,,,,,0.270428
,,,,,,0.016883
,,,,,,-0.019396
,,,,,,0.323691
,,,,,,0.125016
,,,,,,0.189208
,,,,,,0.313362
,,,,,,0.197597
,,,,,,-0.016996
,,,,,,0.206051
,,,,,,0.092685
,,,,,,0.153989
,,,,,,-0.180733
,,,,,,-0.04221
,,,,,,0.156267
,,,,,,0.21578
,,,,,,0.104977
,,,,,,0.10542
,,,,,,0.20379
,,,,,,0.286754
,,,,,,0.27812
,,,,,,0.19574
,,,,,,0.261036
,,,,,,0.207564
,,,,,,0.283221
,,,,,,0.422621
,,,,,,0.247025
,,,,,,0.270884
,,,,,,0.195954
,,,,,,0.127802
,,,,,,0.089004
,,,,,,0.028648
,,,,,,-0.212084
,,,,,,0.118662
,,,,,,0.016993
,,,,,,-0.113277
,,,,,,0.186463
,,,,,,0.175419
,,,,,,0.129987
,,,,,,0.052262
,,,,,,0.196575
,,,,,,0.22841
,,,,,,0.221351
,,,,,,0.077816
,,,,,,0.090913
,,,,,,0.166307
,,,,,,0.213836
,,,,,,0.087062
,,,,,,-0.002426
,,,,,,0.180899
,,,,,,0.203523
,,,,,,0.378105
,,,,,,0.043463
,,,,,,0.250908
,,,,,,0.326552
,,,,,,0.164251
,,,,,,0.367057
,,,,,,0.076753
,,,,,,0.06361
,,,,,,0.092874
,,,,,,0.290335
,,,,,,0.227104
,,,,,,0.091715
,,,,,,0.272336
,,,,,,0.307897
,,,,,,0.176083
,,,,,,-0.112184
,,,,,,0.286139
,,,,,,0.167523
,,,,,,0.261649
,,,,,,0.228226
,,,,,,0.066372
,,,,,,0.187299
,,,,,,0.147655
,,,,,,0.177398
,,,,,,0.275004
,,,,,,0.163856
,,,,,,0.177262
,,,,,,-0.116054
,,,,,,0.002401
,,,,,,0.290199
,,,,,,0.449223
,,,,,,0.243169
,,,,,,0.166112
,,,,,,0.095621
,,,,,,0.122848
,,,,,,0.05563
,,,,,,0.128937
,,,,,,0.219128
,,,,,,0.160819
,,,,,,0.014487
,,,,,,0.007096
,,,,,,-0.115323
,,,,,,0.359164
,,,,,,0.240717
,,,,,,0.1855
,,,,,,0.301357
,,,,,,0.225449
,,,,,,0.219128
,,,,,,0.268236
,,,,,,0.029085
,,,,,,0.231076
,,,,,,0.100659
,,,,,,0.123971
,,,,,,0.17679
,,,,,,0.238734
,,,,,,0.176187
,,,,,,0.212441
,,,,,,0.155955
,,,,,,0.307897
,,,,,,0.266393
,,,,,,0.143424
,,,,,,-0.059872
,,,,,,0.270061
,,,,,,0.196047
,,,,,,0.132835
,,,,,,0.233185
,,,,,,0.38899
,,,,,,0.183488
,,,,,,0.237027
,,,,,,0.100716
,,,,,,0.041454
,,,,,,0.258715
,,,,,,0.135231
,,,,,,0.299498
,,,,,,0.15031
,,,,,,0.2148
,,,,,,0.226895
,,,,,,0.345158
,,,,,,0.257764
,,,,,,0.164043
,,,,,,0.178553
,,,,,,0.42737
,,,,,,0.426914
,,,,,,0.336785
,,,,,,0.193294
,,,,,,0.159859
,,,,,,0.055576
,,,,,,0.194615
,,,,,,0.198431
,,,,,,0.299553
,,,,,,0.103318
,,,,,,0.098287
,,,,,,0.417319
,,,,,,-0.050299
,,,,,,0.172369
,,,,,,0.0
,,,,,,0.102318
,,,,,,0.099046
,,,,,,0.127884
,,,,,,0.209632
,,,,,,0.297503
,,,,,,0.171725
,,,,,,0.30116
,,,,,,0.188092
,,,,,,0.007237
,,,,,,0.284923
,,,,,,-0.109072
,,,,,,0.087652
,,,,,,0.10686
,,,,,,0.264613
,,,,,,0.162192
,,,,,,0.196584
,,,,,,0.177095
,,,,,,0.187889
,,,,,,-0.234147
,,,,,,0.167147
,,,,,,0.345124
,,,,,,0.179554
,,,,,,-0.059848
,,,,,,0.050537
